Team,GP,W,L,MIN,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
Atlanta Hawks,82,43,39,240.3,43.7,9.6,20.4,47.1,4.9,5.8,85.1,24.7,56.6,16.3,37.3,4.6,10.5,2.8,6.5,2.9,6.6
Boston Celtics,81,51,30,242.8,45.8,9.5,19.4,49.1,6,7.1,84.3,25.7,56.2,18.1,39.5,4.5,9.8,3.2,7,3.5,7.6
Brooklyn Nets,82,44,38,240.9,37.8,8.8,17.7,49.7,4.4,5.2,84.5,22.6,59.8,14,36.9,3.4,8.9,2.4,6.4,2.6,6.9
Charlotte Hornets,81,43,38,242.5,54.3,11.2,23.7,47.3,5.4,6.7,80.2,28.6,52.7,21.9,40.4,5.2,9.7,3.6,6.6,3.4,6.2
Chicago Bulls,82,46,36,240.6,41.1,9.6,18.7,51.3,5.3,6.2,85,25.2,61.4,15.4,37.4,3.5,8.6,2.8,6.8,3.1,7.6
Cleveland Cavaliers,82,44,38,240.6,43.9,8.5,18.1,47.1,3.4,4.4,78.4,21,47.8,18.9,43.1,4.7,10.7,3.2,7.2,2.2,5
Dallas Mavericks,82,52,30,240.9,48.2,10.5,19.9,53,5.2,6.6,79.2,27.1,56.3,20.6,42.6,5.3,10.9,3.1,6.3,3.3,6.8
Denver Nuggets,82,48,34,241.5,31,6.7,13.2,50.6,3.6,4.5,80.2,17.5,56.5,12.2,39.3,3.2,10.4,2.2,7,2.3,7.3
Detroit Pistons,81,23,58,241.2,49.9,9.8,21.1,46.7,5.7,7.1,80.1,26,52.2,20.1,40.3,4.3,8.6,3.4,6.9,3.5,7
Golden State Warriors,81,53,28,240.6,38.4,8.1,15.9,50.7,4.6,5.8,79.1,21.2,55.3,15.9,41.5,3.5,9.1,2.7,7,2.9,7.5
Houston Rockets,82,20,62,240.9,45.4,9.6,19.8,48.3,5.4,7.5,71.7,25.2,55.5,16.4,36.1,3.7,8.1,3.9,8.6,3.7,8.2
Indiana Pacers,82,25,57,242.4,50.7,10.4,21.5,48.4,5.1,6.5,78.8,26.8,52.9,21.1,41.7,5,9.9,3.5,6.8,3.3,6.4
LA Clippers,81,42,39,241.2,39.8,8.5,17.9,47.4,3.9,4.8,81.3,21.4,53.7,15.3,38.6,3.9,9.8,2.6,6.6,2.4,6.1
Los Angeles Lakers,82,33,49,243.7,43.6,8.6,17.2,50.3,4.3,5.7,74.3,22.2,50.8,19.2,43.9,4.5,10.3,3.1,7.1,2.9,6.6
Memphis Grizzlies,81,55,26,241.2,46.6,12.1,26.1,46.4,5.3,6.9,77.9,30.3,64.9,13.3,28.5,3.3,7,2.9,6.2,3.4,7.4
Miami Heat,82,53,29,242.1,39.8,7.7,15.6,49.4,4.8,5.7,83.5,20.5,51.6,17.7,44.5,4.2,10.6,2.5,6.3,2.8,7.1
Milwaukee Bucks,82,51,31,240.9,42.5,9.1,17.6,51.6,4.5,6,75.8,23.2,54.6,17.4,40.9,4.4,10.3,3.1,7.3,3,7.1
Minnesota Timberwolves,82,46,36,241.2,40.7,9.7,19.3,50.4,5.4,6.7,80.4,25.8,63.3,14.2,34.8,3.1,7.7,2.7,6.7,3.3,8.2
New Orleans Pelicans,81,35,46,240.9,42,8.4,17.8,47.2,4.6,5.9,78,22,52.5,17.2,41,4.6,11,2.8,6.6,3,7
New York Knicks,81,36,45,241.2,46.9,9.2,20.7,44.3,5.6,7.2,76.8,24.7,52.8,18.3,39,4.6,9.8,3,6.3,3.6,7.7
Oklahoma City Thunder,82,24,58,241.5,61.7,11.4,25.2,45.2,6.4,8.3,77.2,29.9,48.5,26.3,42.7,5.1,8.3,4.1,6.7,4.2,6.8
Orlando Magic,82,22,60,241.2,46.9,9.9,21.8,45.2,5.1,6.4,79.2,25.5,54.4,17,36.2,4,8.5,3.5,7.5,3.2,6.8
Philadelphia 76ers,82,51,31,241.5,41.1,10.3,20.8,49.4,5.2,6.2,83.4,26.6,64.6,13.7,33.4,3.3,8,2.5,6.2,3.1,7.6
Phoenix Suns,81,63,18,240.6,42,9.7,19.9,48.5,3.5,4.3,82.9,23.4,55.8,16.1,38.3,4.3,10.3,2.8,6.6,2.1,5.1
Portland Trail Blazers,82,27,55,240.6,41.6,8.5,18.4,46.2,4.7,6.1,78.1,22.3,53.7,15.7,37.9,3.8,9.1,3.1,7.4,3,7.3
Sacramento Kings,81,29,52,241.5,51.1,10.6,22.3,47.7,5.7,7.5,76.4,27.9,54.5,20.4,40,5.4,10.5,3.3,6.5,3.8,7.4
San Antonio Spurs,82,34,48,241.5,52.7,11.2,23.6,47.6,5.3,6.8,78,28.5,54,21.1,40.1,5.6,10.6,3.1,6,3.4,6.4
Toronto Raptors,82,48,34,242.1,44.1,8.5,18.9,44.9,4.2,5.5,76.5,21.6,49,17.9,40.5,3.9,8.9,3.2,7.2,2.7,6.2
Utah Jazz,82,49,33,240.6,51.9,11.7,22.8,51.3,5.3,6.4,83.9,29.7,57.2,20.4,39.3,4.9,9.3,3.8,7.4,3.2,6.2
Washington Wizards,82,35,47,241.8,47.7,10.3,21.6,47.8,5,6.1,81.2,26.2,55,18.7,39.1,4.9,10.2,3.1,6.5,3.1,6.4
