TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%,FTFREQ%,TOVFREQ%,SFFREQ%,AND ONEFREQ%,SCOREFREQ%,PERCENTILE
Phoenix Suns,82,8.4,7.6,1.24,10.4,4.3,7,61.6,63.8,15,6.6,14.6,4.7,61.1,96.6
Indiana Pacers,82,8.2,7.3,1.19,9.7,3.8,6.9,55.7,61.8,12.4,6.6,12.1,3.4,55.1,86.2
Denver Nuggets,82,8.7,8,1.07,9.4,3.5,7.4,48,53.5,11.7,7,11.2,3.2,48.8,24.1
Atlanta Hawks,82,7,6.4,1.31,9.1,3.6,5.9,62,66.9,14.8,4,14.6,3.1,62,100
Brooklyn Nets,82,8.2,7.4,1.06,8.8,3.7,7,52.7,55.7,8.7,8.1,8.9,1.9,50.7,17.2
Oklahoma City Thunder,82,7.9,7.1,1.06,8.4,3.2,6.8,47.1,54.9,9.3,6.4,9.3,2.8,47,20.7
Chicago Bulls,82,8.4,7.7,0.97,8.1,3.2,7.2,44.9,50.8,7.1,7.9,6.6,1.3,44.5,3.4
Dallas Mavericks,82,6.8,6.4,1.19,8.1,3,5.7,52.3,59.1,12.9,5.2,12.4,2.5,53.9,82.8
Sacramento Kings,82,7.1,6.4,1.13,8,3.3,5.8,56.7,58.9,13.9,9.4,12.8,4.8,54.6,55.2
Utah Jazz,82,6.4,5.8,1.23,7.9,3,4.9,61.1,63.7,18.9,7.3,17.8,3.4,61,93.1
Philadelphia 76ers,82,6.7,6.3,1.17,7.9,2.9,5.4,53.7,59.6,15.3,6.9,14.7,2.7,55.3,75.9
Cleveland Cavaliers,82,7,6.5,1.12,7.8,3,5.8,51.3,57.9,11.9,7.2,11.5,2.4,51.5,48.3
Washington Wizards,82,6.3,5.9,1.2,7.6,3,5.3,56.2,61.2,11.9,6.2,11.8,2.7,56.3,89.7
Milwaukee Bucks,82,6.4,5.8,1.18,7.6,2.8,5.5,51,59.8,12.3,5.5,12.1,3.6,52.1,79.3
Los Angeles Lakers,82,6.6,5.9,1.13,7.4,2.9,5.4,53.5,58.3,12.4,7.2,11.3,2.2,53.4,51.7
Houston Rockets,82,6.7,5.9,1.1,7.3,2.8,5.5,50.9,58,12.4,8.4,12.2,3.3,49.9,31
Minnesota Timberwolves,82,6.2,5.5,1.17,7.3,2.7,5.1,53.1,59.4,13.7,7,13.7,2.7,54.1,69
New Orleans Pelicans,82,6.3,5.7,1.16,7.3,2.8,5.2,53.4,57.8,13.5,7.2,13.3,3.7,53.8,62.1
San Antonio Spurs,82,6.6,5.8,1.1,7.3,3.1,5.7,55,57.2,12.1,5.6,11.7,4.5,53.8,37.9
Miami Heat,82,6.4,5.9,1.12,7.2,2.9,5.4,53.3,56.6,12.8,6.7,12.4,3.2,53.4,44.8
Charlotte Hornets,82,6,5.3,1.17,7,2.7,4.9,55.8,61.3,15.8,7.1,15.4,4.3,55,72.4
Portland Trail Blazers,82,6,5.5,1.16,7,2.8,5,56.9,60.7,13.8,7.5,13.6,4,55.7,65.5
Detroit Pistons,82,6.4,5.8,1.08,6.9,2.5,5.5,45.8,53.1,13.3,4.6,12.8,4.6,47.8,27.6
LA Clippers,82,5.3,4.8,1.15,6,2.4,4.2,56.9,60.8,13.2,9,12.8,3,55.2,58.6
Orlando Magic,82,5.9,5.4,1.02,6,2.3,5.1,45.7,53.1,8.9,7,8.7,2.1,45.6,6.9
New York Knicks,82,5.3,4.9,1.1,5.9,2.4,4.4,53.5,58,10.1,8.5,9.9,1.6,52.6,34.5
Boston Celtics,82,5.1,4.7,1.06,5.4,2.1,4.4,47.1,53.2,11,6.5,10.6,3.6,47.2,13.8
Toronto Raptors,82,5.1,4.6,1.03,5.3,2,4.5,45.8,51.5,10,5,9.5,2.1,47.5,10.3
Memphis Grizzlies,82,4.5,3.9,1.11,5,2,3.7,54.8,57.1,16.3,6,15.7,4.3,54.7,41.4
Golden State Warriors,82,4,3.7,0.95,3.8,1.5,3.3,46.1,51.7,10.3,10,10,1.2,45.5,0
