Team,GP,W,L,MIN,PassesMade,PassesReceived,AST,SecondaryAST,PotentialAST,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj
Atlanta Hawks,82,43,39,240.3,257.1,257.1,24.6,3,43.6,62.2,29.7,9.6,11.5
Boston Celtics,81,51,30,242.8,289,289.1,24.9,4,45.9,64,30.6,8.6,10.6
Brooklyn Nets,82,44,38,240.9,266.5,266.5,25.3,3.1,44.4,62.4,30,9.5,11.3
Charlotte Hornets,81,43,38,242.5,301.5,301.6,28.1,3.7,50.8,73,34.5,9.3,11.4
Chicago Bulls,82,46,36,240.6,269.5,269.6,23.9,3.6,44.3,60.6,29.4,8.9,10.9
Cleveland Cavaliers,82,44,38,240.6,297,297,25.2,3.5,48.8,65.7,31.9,8.5,10.8
Dallas Mavericks,82,52,30,240.9,283.4,283.4,23.4,3.8,45.2,61,29.3,8.3,10.3
Denver Nuggets,82,48,34,241.5,310.7,310.7,27.8,3.9,50.2,70.9,33.9,8.9,10.9
Detroit Pistons,81,23,58,241.2,304.4,304.4,23.5,3.4,47.4,61.7,29.2,7.7,9.6
Golden State Warriors,81,53,28,240.6,310.3,310.2,27.2,4.6,51.7,70.5,34.4,8.8,11.1
Houston Rockets,82,20,62,240.9,278.6,278.5,23.6,2.7,45.7,62.4,28.9,8.5,10.4
Indiana Pacers,82,25,57,242.4,308.3,308.3,25.4,2.9,47.4,66,30.9,8.2,10
LA Clippers,81,42,39,241.2,276.8,276.8,24.1,3.7,43.9,62.8,30,8.7,10.9
Los Angeles Lakers,82,33,49,243.7,280.9,280.9,24,3,46.5,62.1,29.4,8.5,10.5
Memphis Grizzlies,81,55,26,241.2,274.2,274.2,25.9,3.2,46.9,65.2,31.2,9.5,11.4
Miami Heat,82,53,29,242.1,295.7,295.7,25.5,3.5,49.2,66.7,31.2,8.6,10.6
Milwaukee Bucks,82,51,31,240.9,256,256,23.9,3.1,45.7,63.1,29.2,9.3,11.4
Minnesota Timberwolves,82,46,36,241.2,280.9,280.9,25.7,3.4,48.5,66.7,31,9.1,11
New Orleans Pelicans,81,35,46,240.9,300.3,300.3,25,3.2,48,64.6,30.9,8.3,10.3
New York Knicks,81,36,45,241.2,279,279,21.9,2.5,41.2,57.6,26.4,7.8,9.5
Oklahoma City Thunder,82,24,58,241.5,298.6,298.6,22.2,2.5,45.1,57.5,26.5,7.4,8.9
Orlando Magic,82,22,60,241.2,284,284,23.7,2.2,47.4,61.9,27.9,8.4,9.8
Philadelphia 76ers,82,51,31,241.5,299.5,299.5,23.7,3.5,42.2,62.3,29.7,7.9,9.9
Phoenix Suns,81,63,18,240.6,258.8,258.7,27.4,3.5,50.2,69,33.2,10.6,12.8
Portland Trail Blazers,82,27,55,240.6,276.9,276.9,22.9,3,46,60,28.2,8.3,10.2
Sacramento Kings,81,29,52,241.5,280.8,280.8,23.6,2.8,43.5,60.3,28.5,8.4,10.1
San Antonio Spurs,82,34,48,241.5,288.8,288.7,27.9,3,51.5,70.7,33.4,9.7,11.6
Toronto Raptors,82,48,34,242.1,281.1,281.1,22.1,3,44.3,57.3,27.1,7.8,9.6
Utah Jazz,82,49,33,240.6,266,266,22.4,3.3,42.2,59.9,28.3,8.4,10.6
Washington Wizards,82,35,47,241.8,289.3,289.3,25,2.8,45.5,64.3,30.5,8.7,10.5
